CURRENCY,Bank Buying Rate,Bank Buying Rate1,Bank Buying Rate2,Bank Buying Rate3,Bank Selling Rate,Bank Selling Rate1,Bank Buying Rate4
,TRAVELLERS' CHEQUES,EXPORT SIGHT BILL,TELEX TRANSFER,BANK NOTES,TT&DRAFT T/CHEQUES,BANK NOTES,
"USD 1
USD : 1",30.98,30.98,31.08,29.71,31.38,30.98,
,,,,,,,
"USD 5-20
USD : 5-20",30.98,30.98,31.08,30.06,31.38,31.18,
,,,,,,,
"USD 50-100
USD : 50-100",30.98,30.98,31.08,30.53,31.38,31.28,
,,,,,,,
"AED
UAE Dirham",-,-,8.10178,7.05058,8.92747,8.35,
,,,,,,,
"AUD
Australian Dollar",22.37441,22.37441,22.45408,22.26562,23.42209,22.95,
,,,,,,,
"BHD
Bahraini Dinar",-,-,-,57.72875,-,81.5,
,,,,,,,
"BND
Brunei Dollar",-,22.48967,22.57967,22.16824,23.3412,22.65,
,,,,,,,
"CAD
Canadian Dollar",23.51192,23.51192,23.5867,23.23051,24.16582,23.45,
,,,,,,,
"CHF
Swiss Franc",33.83165,33.83165,33.93951,33.18187,34.62255,34.3,
,,,,,,,
"CNY
Yuan Renminbi",-,4.47223,4.52099,4.1771,4.65906,4.57,
,,,,,,,
"DKK
Danish Krone",4.93275,4.93275,4.9558,4.73868,5.04002,4.98,
,,,,,,,
"EUR
Euro",36.72663,36.72663,36.82016,36.50365,37.55186,37.2,
,,,,,,,
"GBP
Pound Sterling",41.23383,41.23383,41.3784,40.78503,42.22767,41.8,
,,,,,,,
"HKD
Hong Kong Dollar",3.97832,3.97832,3.99092,3.9,4.06721,4.03,
,,,,,,,
"IDR
Rupiah",-,-,0.00202,0.00174,0.00222,0.00225,
,,,,,,,
"INR
Indian Rupee",-,-,-,0.34549,0.43808,0.445,
,,,,,,,
"JPY
Yen",0.29015,0.29015,0.29109,0.28483,0.29898,0.295,
,,,,,,,
"KHR
Riel",-,0.00745,0.00748,-,0.00775,-,
,,,,,,,
"KRW
Won",-,-,-,0.0224,0.02878,0.0258,
,,,,,,,
"LAK
Kip",-,-,-,-,0.00366,-,
,,,,,,,
"MYR
Malaysian Ringgit",-,7.4038,7.4338,6.90936,7.6277,7.5,
,,,,,,,
"NOK
Norwegian Krone",3.49757,3.49757,3.51007,3.34169,3.59023,3.44,
,,,,,,,
"NZD
New Zealand Dollar",20.84947,20.84947,20.91322,20.67068,21.47035,20.7,
,,,,,,,
"PHP
Philippine Peso",-,-,-,0.42487,0.65643,0.6,
,,,,,,,
"QAR
Qatari Rial",-,-,-,-,-,8.35,
,,,,,,,
"RUB
Russian Ruble",-,-,-,0.2669,-,0.42,
,,,,,,,
"SAR
Saudi Riyal",-,-,-,6.61773,-,8.3,
,,,,,,,
"SEK
Swedish krona",3.53527,3.53527,3.55777,3.4129,3.61894,3.55,
,,,,,,,
"SGD
Singapore Dollar",22.58842,22.58842,22.65842,22.46324,23.26216,23.0,
,,,,,,,
"TWD
New Taiwan Dollar",-,-,-,0.86757,-,1.02,
,,,,,,,
"VND
Dong",-,-,-,0.00106,0.00168,0.00143,
,,,,,,,
"ZAR
Rand",-,-,-,1.08064,-,1.75,
,,,,,,,
,TRAVELLERS' CHEQUES,EXPORT SIGHT BILL,TELEX TRANSFER,BANK NOTES,TT&DRAFT T/CHEQUES,BANK NOTES,
"USD 1
USD : 1",30.98,30.98,31.08,29.71,31.38,30.98,
,,,,,,,
"USD 5-20
USD : 5-20",30.98,30.98,31.08,30.06,31.38,31.18,
,,,,,,,
"USD 50-100
USD : 50-100",30.98,30.98,31.08,30.53,31.38,31.28,
,,,,,,,
"AED
UAE Dirham",-,-,8.10178,7.05058,8.92747,8.35,
,,,,,,,
"AUD
Australian Dollar",22.37441,22.37441,22.45408,22.26562,23.42209,22.95,
,,,,,,,
"BHD
Bahraini Dinar",-,-,-,57.72875,-,81.5,
,,,,,,,
"BND
Brunei Dollar",-,22.48967,22.57967,22.16824,23.3412,22.65,
,,,,,,,
"CAD
Canadian Dollar",23.51192,23.51192,23.5867,23.23051,24.16582,23.45,
,,,,,,,
"CHF
Swiss Franc",33.83165,33.83165,33.93951,33.18187,34.62255,34.3,
,,,,,,,
"CNY
Yuan Renminbi",-,4.47223,4.52099,4.1771,4.65906,4.57,
,,,,,,,
"DKK
Danish Krone",4.93275,4.93275,4.9558,4.73868,5.04002,4.98,
,,,,,,,
"EUR
Euro",36.72663,36.72663,36.82016,36.50365,37.55186,37.2,
,,,,,,,
"GBP
Pound Sterling",41.23383,41.23383,41.3784,40.78503,42.22767,41.8,
,,,,,,,
"HKD
Hong Kong Dollar",3.97832,3.97832,3.99092,3.9,4.06721,4.03,
,,,,,,,
"IDR
Rupiah",-,-,0.00202,0.00174,0.00222,0.00225,
,,,,,,,
"INR
Indian Rupee",-,-,-,0.34549,0.43808,0.445,
,,,,,,,
"JPY
Yen",0.29015,0.29015,0.29109,0.28483,0.29898,0.295,
,,,,,,,
"KHR
Riel",-,0.00745,0.00748,-,0.00775,-,
,,,,,,,
"KRW
Won",-,-,-,0.0224,0.02878,0.0258,
,,,,,,,
"LAK
Kip",-,-,-,-,0.00366,-,
,,,,,,,
"MYR
Malaysian Ringgit",-,7.4038,7.4338,6.90936,7.6277,7.5,
,,,,,,,
"NOK
Norwegian Krone",3.49757,3.49757,3.51007,3.34169,3.59023,3.44,
,,,,,,,
"NZD
New Zealand Dollar",20.84947,20.84947,20.91322,20.67068,21.47035,20.7,
,,,,,,,
"PHP
Philippine Peso",-,-,-,0.42487,0.65643,0.6,
,,,,,,,
"QAR
Qatari Rial",-,-,-,-,-,8.35,
,,,,,,,
"RUB
Russian Ruble",-,-,-,0.2669,-,0.42,
,,,,,,,
"SAR
Saudi Riyal",-,-,-,6.61773,-,8.3,
,,,,,,,
"SEK
Swedish krona",3.53527,3.53527,3.55777,3.4129,3.61894,3.55,
,,,,,,,
"SGD
Singapore Dollar",22.58842,22.58842,22.65842,22.46324,23.26216,23.0,
,,,,,,,
"TWD
New Taiwan Dollar",-,-,-,0.86757,-,1.02,
,,,,,,,
"VND
Dong",-,-,-,0.00106,0.00168,0.00143,
,,,,,,,
"ZAR
Rand",-,-,-,1.08064,-,1.75,
,,,,,,,
,TRAVELLERS' CHEQUES,EXPORT SIGHT BILL,TELEX TRANSFER,BANK NOTES,TT&DRAFT T/CHEQUES,BANK NOTES,
"USD 1
USD : 1",30.98,30.98,31.08,29.71,31.38,30.98,
,,,,,,,
"USD 5-20
USD : 5-20",30.98,30.98,31.08,30.06,31.38,31.18,
,,,,,,,
"USD 50-100
USD : 50-100",30.98,30.98,31.08,30.53,31.38,31.28,
,,,,,,,
"AED
UAE Dirham",-,-,8.10178,7.05058,8.92747,8.35,
,,,,,,,
"AUD
Australian Dollar",22.37441,22.37441,22.45408,22.26562,23.42209,22.95,
,,,,,,,
"BHD
Bahraini Dinar",-,-,-,57.72875,-,81.5,
,,,,,,,
"BND
Brunei Dollar",-,22.48967,22.57967,22.16824,23.3412,22.65,
,,,,,,,
"CAD
Canadian Dollar",23.51192,23.51192,23.5867,23.23051,24.16582,23.45,
,,,,,,,
"CHF
Swiss Franc",33.83165,33.83165,33.93951,33.18187,34.62255,34.3,
,,,,,,,
"CNY
Yuan Renminbi",-,4.47223,4.52099,4.1771,4.65906,4.57,
,,,,,,,
"DKK
Danish Krone",4.93275,4.93275,4.9558,4.73868,5.04002,4.98,
,,,,,,,
"EUR
Euro",36.72663,36.72663,36.82016,36.50365,37.55186,37.2,
,,,,,,,
"GBP
Pound Sterling",41.23383,41.23383,41.3784,40.78503,42.22767,41.8,
,,,,,,,
"HKD
Hong Kong Dollar",3.97832,3.97832,3.99092,3.9,4.06721,4.03,
,,,,,,,
"IDR
Rupiah",-,-,0.00202,0.00174,0.00222,0.00225,
,,,,,,,
"INR
Indian Rupee",-,-,-,0.34549,0.43808,0.445,
,,,,,,,
"JPY
Yen",0.29015,0.29015,0.29109,0.28483,0.29898,0.295,
,,,,,,,
"KHR
Riel",-,0.00745,0.00748,-,0.00775,-,
,,,,,,,
"KRW
Won",-,-,-,0.0224,0.02878,0.0258,
,,,,,,,
"LAK
Kip",-,-,-,-,0.00366,-,
,,,,,,,
"MYR
Malaysian Ringgit",-,7.4038,7.4338,6.90936,7.6277,7.5,
,,,,,,,
"NOK
Norwegian Krone",3.49757,3.49757,3.51007,3.34169,3.59023,3.44,
,,,,,,,
"NZD
New Zealand Dollar",20.84947,20.84947,20.91322,20.67068,21.47035,20.7,
,,,,,,,
"PHP
Philippine Peso",-,-,-,0.42487,0.65643,0.6,
,,,,,,,
"QAR
Qatari Rial",-,-,-,-,-,8.35,
,,,,,,,
"RUB
Russian Ruble",-,-,-,0.2669,-,0.42,
,,,,,,,
"SAR
Saudi Riyal",-,-,-,6.61773,-,8.3,
,,,,,,,
"SEK
Swedish krona",3.53527,3.53527,3.55777,3.4129,3.61894,3.55,
,,,,,,,
"SGD
Singapore Dollar",22.58842,22.58842,22.65842,22.46324,23.26216,23.0,
,,,,,,,
"TWD
New Taiwan Dollar",-,-,-,0.86757,-,1.02,
,,,,,,,
"VND
Dong",-,-,-,0.00106,0.00168,0.00143,
,,,,,,,
"ZAR
Rand",-,-,-,1.08064,-,1.75,
,,,,,,,
,TRAVELLERS' CHEQUES,EXPORT SIGHT BILL,TELEX TRANSFER,BANK NOTES,TT&DRAFT T/CHEQUES,BANK NOTES,
"USD 1
USD : 1",30.98,30.98,31.08,29.71,31.38,30.98,
,,,,,,,
"USD 5-20
USD : 5-20",30.98,30.98,31.08,30.06,31.38,31.18,
,,,,,,,
"USD 50-100
USD : 50-100",30.98,30.98,31.08,30.53,31.38,31.28,
,,,,,,,
"AED
UAE Dirham",-,-,8.10178,7.05058,8.92747,8.35,
,,,,,,,
"AUD
Australian Dollar",22.37441,22.37441,22.45408,22.26562,23.42209,22.95,
,,,,,,,
"BHD
Bahraini Dinar",-,-,-,57.72875,-,81.5,
,,,,,,,
"BND
Brunei Dollar",-,22.48967,22.57967,22.16824,23.3412,22.65,
,,,,,,,
"CAD
Canadian Dollar",23.51192,23.51192,23.5867,23.23051,24.16582,23.45,
,,,,,,,
"CHF
Swiss Franc",33.83165,33.83165,33.93951,33.18187,34.62255,34.3,
